answer,seed,strategy,scenario,gold_threshold,long_word_scoring_policy,hexalink_bonus,row_bonus,column_bonus,require_hexalink,require_exactly_six_turns,vocabulary_tier,available_words,gold_reachable,gold_without_hexalink,gold_with_hexalink_required,minimum_gold_turns,solver_relevant_moves,legal_words,analysis_ms,exact
OSCILLATED,710002,PREBUILT_COMPACT,COMBO_4_T130_REQUIRE_HEX_HEX20,130,canonical/canonical,20,10,20,true,false,ALL_QJYNN,41814,true,false,true,2,184,1409,22.256,true
OSCILLATED,710002,PREBUILT_COMPACT,COMBO_5_T120_LINE_REDUCED,120,canonical/canonical,10,5,10,false,false,ALL_QJYNN,41814,true,true,true,3,184,1409,28.577,true
OSCILLATED,710002,PREBUILT_COMPACT,VOCAB_ALL,100,canonical/canonical,10,10,20,false,false,ALL_QJYNN,41814,true,true,true,2,184,1409,20.42,true
OSCILLATED,710002,PREBUILT_COMPACT,VOCAB_TOP_30000,100,canonical/canonical,10,10,20,false,false,TOP_30000,28477,true,true,true,2,171,1142,16.997,true
OSCILLATED,710002,PREBUILT_COMPACT,VOCAB_TOP_20000,100,canonical/canonical,10,10,20,false,false,TOP_20000,18944,true,true,false,2,120,657,10.202,true
OSCILLATED,710002,PREBUILT_COMPACT,VOCAB_TOP_15000,100,canonical/canonical,10,10,20,false,false,TOP_15000,14251,true,true,false,2,117,612,8.959,true
OSCILLATED,710002,PREBUILT_COMPACT,VOCAB_TOP_10000,100,canonical/canonical,10,10,20,false,false,TOP_10000,9487,true,true,false,2,100,500,7.095,true
OSCILLATED,710002,PREBUILT_COMPACT,VOCAB_TOP_5000,100,canonical/canonical,10,10,20,false,false,TOP_5000,4862,true,true,false,2,79,290,5.286,true
ABANDONING,710003,PREBUILT_COMPACT,CANONICAL_BASELINE,100,canonical/canonical,10,10,20,false,false,ALL_QJYNN,41814,true,true,true,2,219,1689,29.313,true
ABANDONING,710003,PREBUILT_COMPACT,GOLD_100,100,canonical/canonical,10,10,20,false,false,ALL_QJYNN,41814,true,true,true,2,219,1689,29.639,true
ABANDONING,710003,PREBUILT_COMPACT,GOLD_110,110,canonical/canonical,10,10,20,false,false,ALL_QJYNN,41814,true,true,true,2,219,1689,27.142,true
ABANDONING,710003,PREBUILT_COMPACT,GOLD_120,120,canonical/canonical,10,10,20,false,false,ALL_QJYNN,41814,true,true,true,2,219,1689,25.952,true
ABANDONING,710003,PREBUILT_COMPACT,GOLD_130,130,canonical/canonical,10,10,20,false,false,ALL_QJYNN,41814,true,true,true,2,219,1689,27.298,true
ABANDONING,710003,PREBUILT_COMPACT,GOLD_140,140,canonical/canonical,10,10,20,false,false,ALL_QJYNN,41814,true,true,true,2,219,1689,33.423,true
ABANDONING,710003,PREBUILT_COMPACT,GOLD_150,150,canonical/canonical,10,10,20,false,false,ALL_QJYNN,41814,true,true,true,3,219,1689,39.3,true
ABANDONING,710003,PREBUILT_COMPACT,LONG_A_CANONICAL,100,canonical/canonical,10,10,20,false,false,ALL_QJYNN,41814,true,true,true,2,219,1689,25.413,true
ABANDONING,710003,PREBUILT_COMPACT,LONG_B_12_15,100,12/15,10,10,20,false,false,ALL_QJYNN,41814,true,true,true,2,219,1689,27.923,true
ABANDONING,710003,PREBUILT_COMPACT,LONG_C_15_ALL_LONG,100,15/15,10,10,20,false,false,ALL_QJYNN,41814,true,true,true,2,219,1689,27.379,true
ABANDONING,710003,PREBUILT_COMPACT,LONG_D_12_ALL_LONG,100,12/12,10,10,20,false,false,ALL_QJYNN,41814,true,true,true,2,219,1689,27.181,true
ABANDONING,710003,PREBUILT_COMPACT,HEX_BONUS_0,100,canonical/canonical,0,10,20,false,false,ALL_QJYNN,41814,true,true,true,2,219,1689,27.11,true
ABANDONING,710003,PREBUILT_COMPACT,HEX_BONUS_10,100,canonical/canonical,10,10,20,false,false,ALL_QJYNN,41814,true,true,true,2,219,1689,32.234,true
ABANDONING,710003,PREBUILT_COMPACT,HEX_BONUS_15,100,canonical/canonical,15,10,20,false,false,ALL_QJYNN,41814,true,true,true,2,219,1689,32.54,true
ABANDONING,710003,PREBUILT_COMPACT,HEX_BONUS_20,100,canonical/canonical,20,10,20,false,false,ALL_QJYNN,41814,true,true,true,2,219,1689,27.827,true
ABANDONING,710003,PREBUILT_COMPACT,HEX_BONUS_25,100,canonical/canonical,25,10,20,false,false,ALL_QJYNN,41814,true,true,true,2,219,1689,25.827,true
ABANDONING,710003,PREBUILT_COMPACT,HEX_BONUS_30,100,canonical/canonical,30,10,20,false,false,ALL_QJYNN,41814,true,true,true,2,219,1689,26.399,true
ABANDONING,710003,PREBUILT_COMPACT,REQUIRE_HEX_100,100,canonical/canonical,10,10,20,true,false,ALL_QJYNN,41814,true,false,true,2,219,1689,26.997,true
ABANDONING,710003,PREBUILT_COMPACT,REQUIRE_HEX_110,110,canonical/canonical,10,10,20,true,false,ALL_QJYNN,41814,true,false,true,2,219,1689,30.027,true
ABANDONING,710003,PREBUILT_COMPACT,REQUIRE_HEX_120,120,canonical/canonical,10,10,20,true,false,ALL_QJYNN,41814,true,false,true,2,219,1689,27.901,true
ABANDONING,710003,PREBUILT_COMPACT,REQUIRE_HEX_130,130,canonical/canonical,10,10,20,true,false,ALL_QJYNN,41814,true,false,true,2,219,1689,31.155,true
ABANDONING,710003,PREBUILT_COMPACT,EXACTLY_SIX_100,100,canonical/canonical,10,10,20,false,true,ALL_QJYNN,41814,true,true,true,6,219,1689,17.907,true
ABANDONING,710003,PREBUILT_COMPACT,EXACTLY_SIX_110,110,canonical/canonical,10,10,20,false,true,ALL_QJYNN,41814,true,true,true,6,219,1689,22.819,true
ABANDONING,710003,PREBUILT_COMPACT,EXACTLY_SIX_120,120,canonical/canonical,10,10,20,false,true,ALL_QJYNN,41814,true,true,true,6,219,1689,17.295,true
ABANDONING,710003,PREBUILT_COMPACT,EXACTLY_SIX_130,130,canonical/canonical,10,10,20,false,true,ALL_QJYNN,41814,true,true,true,6,219,1689,18.912,true
ABANDONING,710003,PREBUILT_COMPACT,LINE_CANONICAL,100,canonical/canonical,10,10,20,false,false,ALL_QJYNN,41814,true,true,true,2,219,1689,28.688,true
ABANDONING,710003,PREBUILT_COMPACT,LINE_NONE,100,canonical/canonical,10,0,0,false,false,ALL_QJYNN,41814,false,false,false,,219,1689,136.301,true
ABANDONING,710003,PREBUILT_COMPACT,LINE_REDUCED,100,canonical/canonical,10,5,10,false,false,ALL_QJYNN,41814,true,true,true,3,219,1689,38.318,true
ABANDONING,710003,PREBUILT_COMPACT,LINE_INCREASED,100,canonical/canonical,10,15,30,false,false,ALL_QJYNN,41814,true,true,true,2,219,1689,25.454,true
ABANDONING,710003,PREBUILT_COMPACT,COMBO_1_T120_HEX20,120,canonical/canonical,20,10,20,false,false,ALL_QJYNN,41814,true,true,true,2,219,1689,26.306,true
ABANDONING,710003,PREBUILT_COMPACT,COMBO_2_T120_LONG15_HEX20,120,15/15,20,10,20,false,false,ALL_QJYNN,41814,true,true,true,2,219,1689,27.752,true
ABANDONING,710003,PREBUILT_COMPACT,COMBO_3_T120_REQUIRE_HEX,120,canonical/canonical,10,10,20,true,false,ALL_QJYNN,41814,true,false,true,2,219,1689,31.17,true
ABANDONING,710003,PREBUILT_COMPACT,COMBO_4_T130_REQUIRE_HEX_HEX20,130,canonical/canonical,20,10,20,true,false,ALL_QJYNN,41814,true,false,true,2,219,1689,26.203,true
ABANDONING,710003,PREBUILT_COMPACT,COMBO_5_T120_LINE_REDUCED,120,canonical/canonical,10,5,10,false,false,ALL_QJYNN,41814,true,true,true,3,219,1689,36.797,true
ABANDONING,710003,PREBUILT_COMPACT,VOCAB_ALL,100,canonical/canonical,10,10,20,false,false,ALL_QJYNN,41814,true,true,true,2,219,1689,31.104,true
ABANDONING,710003,PREBUILT_COMPACT,VOCAB_TOP_30000,100,canonical/canonical,10,10,20,false,false,TOP_30000,28477,true,true,true,2,193,1160,28.045,true
ABANDONING,710003,PREBUILT_COMPACT,VOCAB_TOP_20000,100,canonical/canonical,10,10,20,false,false,TOP_20000,18944,true,true,true,2,155,722,11.398,true
ABANDONING,710003,PREBUILT_COMPACT,VOCAB_TOP_15000,100,canonical/canonical,10,10,20,false,false,TOP_15000,14251,true,true,true,2,148,652,13.15,true
ABANDONING,710003,PREBUILT_COMPACT,VOCAB_TOP_10000,100,canonical/canonical,10,10,20,false,false,TOP_10000,9487,true,true,true,2,128,419,8.151,true
ABANDONING,710003,PREBUILT_COMPACT,VOCAB_TOP_5000,100,canonical/canonical,10,10,20,false,false,TOP_5000,4862,true,true,true,2,114,339,6.451,true
