answer,low_runs,shortlist_size,reference_selected_band,staged_selected_band,same_band,adjacent_band,reference_regular_mean,staged_regular_mean,mean_delta
ACCELERANT,25,5,middle,middle,true,true,82.052,81.076,-0.9760000000000133
ACCELERANT,50,5,middle,middle,true,true,82.052,81.076,-0.9760000000000133
ACCELERANT,75,5,middle,middle,true,true,82.052,81.076,-0.9760000000000133
ACCELERANT,100,5,middle,middle,true,true,82.052,81.076,-0.9760000000000133
ACCELERANT,150,5,middle,middle,true,true,82.052,82.144,0.09199999999999875
ACCELERANT,250,5,middle,middle,true,true,82.052,82.144,0.09199999999999875
ACCEPTABLE,25,5,middle,harder,false,true,83.308,81.308,-2
ACCEPTABLE,50,5,middle,harder,false,true,83.308,81.308,-2
ACCEPTABLE,75,5,middle,harder,false,true,83.308,81.79,-1.5180000000000007
ACCEPTABLE,100,5,middle,harder,false,true,83.308,81.79,-1.5180000000000007
ACCEPTABLE,150,5,middle,harder,false,true,83.308,81.79,-1.5180000000000007
ACCEPTABLE,250,5,middle,harder,false,true,83.308,81.79,-1.5180000000000007
ACCIDENTAL,25,5,middle,middle,true,true,81.866,81.806,-0.060000000000002274
ACCIDENTAL,50,5,middle,easier,false,true,81.866,82.018,0.15200000000000102
ACCIDENTAL,75,5,middle,easier,false,true,81.866,82.018,0.15200000000000102
ACCIDENTAL,100,5,middle,easier,false,true,81.866,82.018,0.15200000000000102
ACCIDENTAL,150,5,middle,middle,true,true,81.866,81.806,-0.060000000000002274
ACCIDENTAL,250,5,middle,middle,true,true,81.866,81.866,0
ACCLAIMING,25,5,middle,middle,true,true,82.308,82.308,0
ACCLAIMING,50,5,middle,harder,false,true,82.308,80.98,-1.328000000000003
ACCLAIMING,75,5,middle,harder,false,true,82.308,81.972,-0.33600000000001273
ACCLAIMING,100,5,middle,middle,true,true,82.308,82.308,0
ACCLAIMING,150,5,middle,middle,true,true,82.308,82.018,-0.29000000000000625
ACCLAIMING,250,5,middle,middle,true,true,82.308,82.018,-0.29000000000000625
ACCLIMATED,25,5,middle,middle,true,true,81.316,81.316,0
ACCLIMATED,50,5,middle,harder,false,true,81.316,80.776,-0.5400000000000063
ACCLIMATED,75,5,middle,middle,true,true,81.316,81.958,0.6419999999999959
ACCLIMATED,100,5,middle,harder,false,true,81.316,80.776,-0.5400000000000063
ACCLIMATED,150,5,middle,middle,true,true,81.316,81.316,0
ACCLIMATED,250,5,middle,middle,true,true,81.316,81.316,0
ACCORDIONS,25,5,middle,middle,true,true,82.598,82.598,0
ACCORDIONS,50,5,middle,middle,true,true,82.598,81.896,-0.7019999999999982
ACCORDIONS,75,5,middle,middle,true,true,82.598,81.896,-0.7019999999999982
ACCORDIONS,100,5,middle,middle,true,true,82.598,81.896,-0.7019999999999982
ACCORDIONS,150,5,middle,easier,false,true,82.598,83.294,0.695999999999998
ACCORDIONS,250,5,middle,easier,false,true,82.598,83.294,0.695999999999998
ACCOUNTANT,25,5,middle,middle,true,true,82.212,81.904,-0.30800000000000693
ACCOUNTANT,50,5,middle,middle,true,true,82.212,81.904,-0.30800000000000693
ACCOUNTANT,75,5,middle,harder,false,true,82.212,81.796,-0.4159999999999968
ACCOUNTANT,100,5,middle,harder,false,true,82.212,81.796,-0.4159999999999968
ACCOUNTANT,150,5,middle,middle,true,true,82.212,81.904,-0.30800000000000693
ACCOUNTANT,250,5,middle,middle,true,true,82.212,81.904,-0.30800000000000693
