puzzle_id,answer,seed,puzzle_source,player_model,runs,mean_score,median_score,score_std_dev,p10_score,p25_score,p75_score,p90_score,gold_rate,silver_rate,bronze_rate,no_medal_rate,hexalink_rate,mean_hexalink_turn,completion_rate,mean_turns_used,mean_rows_completed,mean_columns_completed,mean_invalid_attempts,mean_hint_use,mean_valid_words,simulation_ms
WATERMELON#2,WATERMELON,910001,M7A3_EXISTING_M6_GRID,REGULAR,100,104.18,105,10.952957259447002,90,97,110,120,0.66,0.34,0,0,0,0,1,6,0.36,0.19,0.08,0.5,5.92,314.614701
WATERMELON#2,WATERMELON,910001,M7A3_EXISTING_M6_GRID,STRONG,100,114.2,115,10.504448312188238,100,105,120,129,0.94,0.06,0,0,0,0,1,6,0.58,0.37,0.06,0.46,5.94,472.271657
WATERMELON#2,WATERMELON,910001,M7A3_EXISTING_M6_GRID,EXPERT,100,118.71,115,10.435269449556563,105,110,125,133,1,0,0,0,0,0,1,6,0.51,0.38,0,0.67,6,758.793537
WATERMELON#2,WATERMELON,910001,M7A3_EXISTING_M6_GRID,ORACLE,1,110,110,0,110,110,110,110,1,0,0,0,1,1,0,5,0,0,0,0,5,0
OSCILLATED#2,OSCILLATED,910002,M7A3_EXISTING_M6_GRID,CASUAL,100,81.88,82,11.010811949987145,69,74,87,97,0.06,0.82,0.12,0,0.33,2.0303030303030303,1,6,0.12,0.01,0.29,0.13,5.71,136.565252
OSCILLATED#2,OSCILLATED,910002,M7A3_EXISTING_M6_GRID,REGULAR,100,101.73,102,8.6454927826322,90,95,107,113,0.63,0.37,0,0,0.08,1.75,1,6,0.55,0.08,0.09,0.35,5.91,282.782996
OSCILLATED#2,OSCILLATED,910002,M7A3_EXISTING_M6_GRID,STRONG,100,108.42,108,8.651712039366613,100,100,113,120,0.93,0.07,0,0,0,0,1,6,0.72,0.05,0.06,0.52,5.94,459.920817
OSCILLATED#2,OSCILLATED,910002,M7A3_EXISTING_M6_GRID,EXPERT,100,113.65,112,9.852831208758369,103,108,120,127,0.95,0.05,0,0,0,0,1,6,0.83,0.16,0.04,0.65,5.96,748.909532
OSCILLATED#2,OSCILLATED,910002,M7A3_EXISTING_M6_GRID,ORACLE,1,105,105,0,105,105,105,105,1,0,0,0,1,1,0,5,0,0,0,0,5,0
ABANDONING#2,ABANDONING,910003,M7A3_EXISTING_M6_GRID,CASUAL,100,91.91,90,15.2229856772347,72,81,102,110,0.3,0.64,0.06,0,0.5,1.68,1,6,0.27,0.04,0.23,0.23,5.77,153.90138
ABANDONING#2,ABANDONING,910003,M7A3_EXISTING_M6_GRID,REGULAR,100,117.03,117,11.669224827759898,100,110,125,130,0.92,0.08,0,0,0.77,1.3896103896103895,1,6,0.89,0.05,0.13,0.39,5.87,299.110334
ABANDONING#2,ABANDONING,910003,M7A3_EXISTING_M6_GRID,STRONG,100,129.97,130,9.558385181228429,120,125,135,143,1,0,0,0,0.95,1.2,1,6,1.16,0.16,0.03,0.52,5.97,492.238468
ABANDONING#2,ABANDONING,910003,M7A3_EXISTING_M6_GRID,EXPERT,100,136.44,137,8.68101376568428,125,130,140,147,1,0,0,0,1,1,1,6,1.44,0.21,0.02,0.61,5.98,780.946085
ABANDONING#2,ABANDONING,910003,M7A3_EXISTING_M6_GRID,ORACLE,1,110,110,0,110,110,110,110,1,0,0,0,1,1,0,5,0,0,0,0,5,0
ABSOLUTELY#2,ABSOLUTELY,910004,M7A3_EXISTING_M6_GRID,CASUAL,100,86.67,85,15.601123373175744,66,74,95,108,0.2,0.62,0.18,0,0.48,1.5,1,6,0.13,0.11,0.19,0.2,5.81,130.392899
ABSOLUTELY#2,ABSOLUTELY,910004,M7A3_EXISTING_M6_GRID,REGULAR,100,113.5,112,15.480518875233628,92,105,122,135,0.83,0.17,0,0,0.62,1.4516129032258065,1,6,0.47,0.37,0.1,0.33,5.9,248.855901
ABSOLUTELY#2,ABSOLUTELY,910004,M7A3_EXISTING_M6_GRID,STRONG,100,129.94,130,14.128429681055332,112,120,140,145,0.98,0.02,0,0,0.87,1.1724137931034482,1,6,0.66,0.65,0.04,0.61,5.96,379.807738
ABSOLUTELY#2,ABSOLUTELY,910004,M7A3_EXISTING_M6_GRID,EXPERT,100,135.46,135,12.84438327901273,123,125,145,150,1,0,0,0,1,1,1,6,0.61,0.69,0.04,0.6,5.96,520.329512
ABSOLUTELY#2,ABSOLUTELY,910004,M7A3_EXISTING_M6_GRID,ORACLE,1,105,105,0,105,105,105,105,1,0,0,0,1,1,0,5,0,0,0,0,5,0
ACCESSIBLE#2,ACCESSIBLE,910005,M7A3_EXISTING_M6_GRID,CASUAL,100,88.68,88,14.105575944543094,70,78,99,107,0.25,0.67,0.08,0,0.59,2.2542372881355934,1,6,0.23,0.02,0.26,0.14,5.74,131.720382
ACCESSIBLE#2,ACCESSIBLE,910005,M7A3_EXISTING_M6_GRID,REGULAR,100,115.55,115,11.369261234139229,105,107,122,130,0.94,0.06,0,0,0.94,1.7127659574468086,1,6,0.62,0.07,0.1,0.37,5.9,268.849148
ACCESSIBLE#2,ACCESSIBLE,910005,M7A3_EXISTING_M6_GRID,STRONG,100,122.69,122,9.872617984029661,110,117,127,135,0.99,0.01,0,0,0.97,1.2577319587628866,1,6,0.68,0.11,0.07,0.51,5.93,405.450375
ACCESSIBLE#2,ACCESSIBLE,910005,M7A3_EXISTING_M6_GRID,EXPERT,100,129.95,130,7.896265579437542,120,125,135,142,1,0,0,0,1,1.01,1,6,0.78,0.2,0.01,0.62,5.99,583.852456
ACCESSIBLE#2,ACCESSIBLE,910005,M7A3_EXISTING_M6_GRID,ORACLE,1,110,110,0,110,110,110,110,1,0,0,0,1,1,0,5,0,0,0,0,5,0
ACCOUNTING#2,ACCOUNTING,910006,M7A3_EXISTING_M6_GRID,CASUAL,100,86.06,85,9.821456618089298,74,79,92,99,0.08,0.88,0.04,0,0.51,1.3725490196078431,1,6,0.18,0.01,0.22,0.28,5.78,116.628221
ACCOUNTING#2,ACCOUNTING,910006,M7A3_EXISTING_M6_GRID,REGULAR,100,104.56,104,10.818353279347448,90,99,110,117,0.74,0.26,0,0,0.58,1.2241379310344827,1,6,0.34,0.1,0.09,0.25,5.91,262.422924
ACCOUNTING#2,ACCOUNTING,910006,M7A3_EXISTING_M6_GRID,STRONG,100,112.76,112,7.038307877450217,104,108,117,122,0.97,0.03,0,0,0.88,1.1136363636363635,1,6,0.52,0.05,0.04,0.43,5.96,398.230175
ACCOUNTING#2,ACCOUNTING,910006,M7A3_EXISTING_M6_GRID,EXPERT,100,119.06,120,7.269446229586437,110,113,122,130,1,0,0,0,1,1,1,6,0.61,0.12,0,0.75,6,543.956515
