puzzle,answer,player_model,accessibility_system,runs,mean_score,median_score,gold_rate,silver_rate,bronze_rate,hexalink_rate,mean_played_word_familiarity,rare_word_dependency,mean_known_moves,mean_noticed_moves,gold_games,mean_gold_word_familiarity,median_gold_word_familiarity,least_familiar_word,gold_familiar_only_50,gold_low_dependency_25,gold_low_dependency_50,gold_low_dependency_75,gold_multiple_low_50,familiarity_source,source_version,source_package_version,source_revision,normalization_version,fallback_used
ACCOUNTING,ACCOUNTING,REGULAR,M8_HEURISTIC_BASELINE,500,105.46,105,0.722,0.278,0,0.63,0.5950498368456937,0.3628808864265928,21.981333333333332,23.008666666666667,361,0.5912038165817549,0.62514,inadequate,0.6371191135734072,0,0.3628808864265928,1,0.030470914127423823,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ACCOUNTING,ACCOUNTING,STRONG,M8_HEURISTIC_BASELINE,500,116.216,115,0.976,0.024,0,0.86,0.6131661744966459,0.45491803278688525,53.77033333333333,56.10333333333333,488,0.61286861063465,0.6192,inadequate,0.5450819672131147,0,0.45491803278688525,1,0.04918032786885246,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ACCOUNTING,ACCOUNTING,EXPERT,M8_HEURISTIC_BASELINE,500,122.506,122,0.994,0.006,0,0.996,0.6248114563106761,0.43661971830985913,113.70213475650434,115.8028685790527,497,0.6246220609017462,0.5994,exhibited,0.5633802816901409,0,0.43661971830985913,1,0.02012072434607646,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ACCOUNTING,ACCOUNTING,ORACLE,M8_HEURISTIC_BASELINE,1,105,105,1,0,0,1,,,,,,,,,,,,,,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ADVENTURES,ADVENTURES,CASUAL,M8_HEURISTIC_BASELINE,500,87.238,88,0.168,0.736,0.096,0.54,0.5782659687500064,0.9642857142857143,5.618,6.314666666666667,84,0.5608422754491017,0.58374,exactitude,0.03571428571428571,0,0.9642857142857143,1,0.38095238095238093,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ADVENTURES,ADVENTURES,REGULAR,M8_HEURISTIC_BASELINE,500,112.64,112,0.84,0.16,0,0.822,0.5837263682604316,0.3357142857142857,21.607333333333333,22.676,420,0.5816718922155719,0.62514,exactitude,0.6642857142857143,0,0.3357142857142857,1,0.03571428571428571,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ADVENTURES,ADVENTURES,STRONG,M8_HEURISTIC_BASELINE,500,124.632,125,0.992,0.008,0,0.926,0.5975694164989865,0.4899193548387097,52.657885961987326,55.0053351117039,496,0.5973616216216143,0.5760000000000001,excretion,0.5100806451612904,0,0.4899193548387097,1,0.0967741935483871,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ADVENTURES,ADVENTURES,EXPERT,M8_HEURISTIC_BASELINE,500,133.538,135,1,0,0,0.998,0.6131041452420634,0.35,112.502,114.08566666666667,500,0.6131041452420634,0.5994,excitation,0.65,0,0.35,1,0.054,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ADVENTURES,ADVENTURES,ORACLE,M8_HEURISTIC_BASELINE,1,110,110,1,0,0,1,,,,,,,,,,,,,,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AGGRAVATED,AGGRAVATED,CASUAL,M8_HEURISTIC_BASELINE,500,86.63,86,0.18,0.726,0.092,0.448,0.5791383263598375,0.9333333333333333,5.732333333333333,6.358666666666666,90,0.5620092578849708,0.58374,aquitaine,0.06666666666666667,0,0.9333333333333333,1,0.3,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
