rank,puzzle_id,gold_rate,median_score,hexalink_rate,math,familiarity_source,source_version,normalization_version,fallback_used
41,ADJOURNING,0.06333333333333334,81.33333333333333,0.25866666666666666,"{""puzzle_id"":""ADJOURNING"",""raw_legal_moves"":8816,""unique_playable_words"":4969,""unique_skeletons"":1677,""unique_tile_masks"":1630,""solver_relevant_moves"":1630,""hexalink_move_count"":1,""hexalink_participation_pct"":0.00011343012704174228,""hexalink_rows_touched"":5,""hexalink_columns_touched"":3,""hexalink_diagonal_steps"":3,""enumeration_ms"":68.757897}",wordfreq,v3.2,zipf-linear-v1,false
42,ACCLIMATED,0.06066666666666667,81.33333333333333,0.25266666666666665,"{""puzzle_id"":""ACCLIMATED"",""raw_legal_moves"":7465,""unique_playable_words"":4805,""unique_skeletons"":1655,""unique_tile_masks"":1531,""solver_relevant_moves"":1531,""hexalink_move_count"":1,""hexalink_participation_pct"":0.00013395847287340923,""hexalink_rows_touched"":4,""hexalink_columns_touched"":3,""hexalink_diagonal_steps"":3,""enumeration_ms"":61.143857}",wordfreq,v3.2,zipf-linear-v1,false
43,ADMISSIONS,0.054,80,0.23866666666666667,"{""puzzle_id"":""ADMISSIONS"",""raw_legal_moves"":8481,""unique_playable_words"":4718,""unique_skeletons"":1592,""unique_tile_masks"":1652,""solver_relevant_moves"":1652,""hexalink_move_count"":1,""hexalink_participation_pct"":0.00011791062374719962,""hexalink_rows_touched"":3,""hexalink_columns_touched"":5,""hexalink_diagonal_steps"":2,""enumeration_ms"":70.627067}",wordfreq,v3.2,zipf-linear-v1,false
44,ACCORDIONS,0.05266666666666667,78.33333333333333,0.17933333333333334,"{""puzzle_id"":""ACCORDIONS"",""raw_legal_moves"":9016,""unique_playable_words"":4710,""unique_skeletons"":1596,""unique_tile_masks"":1736,""solver_relevant_moves"":1736,""hexalink_move_count"":1,""hexalink_participation_pct"":0.00011091393078970719,""hexalink_rows_touched"":4,""hexalink_columns_touched"":3,""hexalink_diagonal_steps"":3,""enumeration_ms"":83.306544}",wordfreq,v3.2,zipf-linear-v1,false
45,AFTERTASTE,0.050666666666666665,80,0.22066666666666665,"{""puzzle_id"":""AFTERTASTE"",""raw_legal_moves"":8113,""unique_playable_words"":5150,""unique_skeletons"":1712,""unique_tile_masks"":1513,""solver_relevant_moves"":1513,""hexalink_move_count"":1,""hexalink_participation_pct"":0.0001232589670898558,""hexalink_rows_touched"":4,""hexalink_columns_touched"":4,""hexalink_diagonal_steps"":4,""enumeration_ms"":209.073015}",wordfreq,v3.2,zipf-linear-v1,false
46,ABSOLUTISM,0.04866666666666667,80,0.21933333333333335,"{""puzzle_id"":""ABSOLUTISM"",""raw_legal_moves"":9734,""unique_playable_words"":6103,""unique_skeletons"":2137,""unique_tile_masks"":1911,""solver_relevant_moves"":1911,""hexalink_move_count"":1,""hexalink_participation_pct"":0.0001027326895418122,""hexalink_rows_touched"":4,""hexalink_columns_touched"":3,""hexalink_diagonal_steps"":3,""enumeration_ms"":86.615902}",wordfreq,v3.2,zipf-linear-v1,false
47,OSCILLATED,0.04666666666666667,80.33333333333333,0.23066666666666666,"{""puzzle_id"":""OSCILLATED"",""raw_legal_moves"":7989,""unique_playable_words"":4854,""unique_skeletons"":1678,""unique_tile_masks"":1671,""solver_relevant_moves"":1671,""hexalink_move_count"":1,""hexalink_participation_pct"":0.00012517211165352359,""hexalink_rows_touched"":2,""hexalink_columns_touched"":5,""hexalink_diagonal_steps"":2,""enumeration_ms"":81.778667}",wordfreq,v3.2,zipf-linear-v1,false
48,ACCELERANT,0.03933333333333333,79.33333333333333,0.18933333333333335,"{""puzzle_id"":""ACCELERANT"",""raw_legal_moves"":8497,""unique_playable_words"":4550,""unique_skeletons"":1600,""unique_tile_masks"":1734,""solver_relevant_moves"":1734,""hexalink_move_count"":1,""hexalink_participation_pct"":0.00011768859597505002,""hexalink_rows_touched"":4,""hexalink_columns_touched"":3,""hexalink_diagonal_steps"":3,""enumeration_ms"":70.549068}",wordfreq,v3.2,zipf-linear-v1,false
49,ACCREDITED,0.03866666666666666,77.66666666666667,0.2313333333333333,"{""puzzle_id"":""ACCREDITED"",""raw_legal_moves"":7831,""unique_playable_words"":4773,""unique_skeletons"":1522,""unique_tile_masks"":1382,""solver_relevant_moves"":1382,""hexalink_move_count"":1,""hexalink_participation_pct"":0.00012769761205465457,""hexalink_rows_touched"":3,""hexalink_columns_touched"":4,""hexalink_diagonal_steps"":3,""enumeration_ms"":65.595615}",wordfreq,v3.2,zipf-linear-v1,false
50,ACCOUNTING,0.03466666666666667,80.33333333333333,0.19999999999999998,"{""puzzle_id"":""ACCOUNTING"",""raw_legal_moves"":8404,""unique_playable_words"":4693,""unique_skeletons"":1647,""unique_tile_masks"":1599,""solver_relevant_moves"":1599,""hexalink_move_count"":2,""hexalink_participation_pct"":0.00023798191337458352,""hexalink_rows_touched"":4,""hexalink_columns_touched"":4,""hexalink_diagonal_steps"":2,""enumeration_ms"":74.176922}",wordfreq,v3.2,zipf-linear-v1,false
