puzzle,player_model,accessibility_system,gold_games,mean_gold_word_familiarity,median_gold_word_familiarity,least_familiar_word,gold_familiar_only_50,gold_low_dependency_25,gold_low_dependency_50,gold_low_dependency_75,gold_multiple_low_50,familiarity_source,source_version,source_package_version,source_revision,normalization_version,fallback_used
ABSOLUTELY,EXPERT,M81_FREQUENCY_MODEL,224,0.6020190439098402,0.5893979751022373,jocose,0.16964285714285715,0.017857142857142856,0.8303571428571429,1,0.5133928571428571,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ABSOLUTELY,ORACLE,M81_FREQUENCY_MODEL,,,,,,,,,,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ACCESSIBLE,CASUAL,M81_FREQUENCY_MODEL,12,0.1790160681765295,0.1465983988130556,yaupon,0,1,1,1,1,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ACCESSIBLE,REGULAR,M81_FREQUENCY_MODEL,55,0.2916091664544473,0.2914732577299559,obloquy,0,0.9454545454545454,1,1,1,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ACCESSIBLE,STRONG,M81_FREQUENCY_MODEL,121,0.4841545863395409,0.4882882996329176,kelter,0,0.1487603305785124,1,1,0.9421487603305785,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ACCESSIBLE,EXPERT,M81_FREQUENCY_MODEL,257,0.5942683621563254,0.6140579617856899,johnie,0.1556420233463035,0,0.8443579766536965,1,0.47470817120622566,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ACCESSIBLE,ORACLE,M81_FREQUENCY_MODEL,,,,,,,,,,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ACCOUNTING,CASUAL,M81_FREQUENCY_MODEL,5,0.14570253257457005,0.13449772627649578,angelita,0,1,1,1,1,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ACCOUNTING,REGULAR,M81_FREQUENCY_MODEL,24,0.25142691674382917,0.22537030006039666,fondues,0,1,1,1,1,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ACCOUNTING,STRONG,M81_FREQUENCY_MODEL,62,0.4616285551842392,0.4733101971167444,sodomizes,0,0.5,1,1,0.9838709677419355,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ACCOUNTING,EXPERT,M81_FREQUENCY_MODEL,207,0.609099976655155,0.6382686113033089,litigates,0.19806763285024154,0.00966183574879227,0.8019323671497585,1,0.3188405797101449,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
