puzzle_id,model,rare_word_dependency,familiarity_source,source_version,normalization_version,fallback_used
ACCURATELY,REGULAR,1,wordfreq,v3.2,zipf-linear-v1,false
ACCURATELY,STRONG,1,wordfreq,v3.2,zipf-linear-v1,false
ACCUSATORY,REGULAR,1,wordfreq,v3.2,zipf-linear-v1,false
ACCUSATORY,STRONG,0.9964539007092199,wordfreq,v3.2,zipf-linear-v1,false
ACCUSTOMED,REGULAR,1,wordfreq,v3.2,zipf-linear-v1,false
ACCUSTOMED,STRONG,1,wordfreq,v3.2,zipf-linear-v1,false
ACQUITTALS,REGULAR,1,wordfreq,v3.2,zipf-linear-v1,false
ACQUITTALS,STRONG,1,wordfreq,v3.2,zipf-linear-v1,false
ACQUITTING,REGULAR,1,wordfreq,v3.2,zipf-linear-v1,false
ACQUITTING,STRONG,0.9852507374631269,wordfreq,v3.2,zipf-linear-v1,false
ACROBATICS,REGULAR,1,wordfreq,v3.2,zipf-linear-v1,false
ACROBATICS,STRONG,1,wordfreq,v3.2,zipf-linear-v1,false
ACTIVATING,REGULAR,1,wordfreq,v3.2,zipf-linear-v1,false
ACTIVATING,STRONG,1,wordfreq,v3.2,zipf-linear-v1,false
ADDICTIONS,REGULAR,1,wordfreq,v3.2,zipf-linear-v1,false
ADDICTIONS,STRONG,1,wordfreq,v3.2,zipf-linear-v1,false
ADIRONDACK,REGULAR,1,wordfreq,v3.2,zipf-linear-v1,false
ADIRONDACK,STRONG,0.9934528349860158,wordfreq,v3.2,zipf-linear-v1,false
ADJECTIVES,REGULAR,1,wordfreq,v3.2,zipf-linear-v1,false
ADJECTIVES,STRONG,0.9940304871548875,wordfreq,v3.2,zipf-linear-v1,false
ADJOURNING,REGULAR,1,wordfreq,v3.2,zipf-linear-v1,false
ADJOURNING,STRONG,0.9950980392156863,wordfreq,v3.2,zipf-linear-v1,false
ADJUSTABLE,REGULAR,1,wordfreq,v3.2,zipf-linear-v1,false
ADJUSTABLE,STRONG,1,wordfreq,v3.2,zipf-linear-v1,false
ADMINISTER,REGULAR,1,wordfreq,v3.2,zipf-linear-v1,false
ADMINISTER,STRONG,0.9970760233918128,wordfreq,v3.2,zipf-linear-v1,false
ADMISSIBLE,REGULAR,1,wordfreq,v3.2,zipf-linear-v1,false
ADMISSIBLE,STRONG,1,wordfreq,v3.2,zipf-linear-v1,false
ADMISSIONS,REGULAR,1,wordfreq,v3.2,zipf-linear-v1,false
ADMISSIONS,STRONG,1,wordfreq,v3.2,zipf-linear-v1,false
ADMITTANCE,REGULAR,1,wordfreq,v3.2,zipf-linear-v1,false
ADMITTANCE,STRONG,1,wordfreq,v3.2,zipf-linear-v1,false
ADMONISHED,REGULAR,1,wordfreq,v3.2,zipf-linear-v1,false
