puzzle_id,regular_gold_rate,regular_hexalink_rate,strong_gold_rate,strong_hexalink_rate,familiarity_source,source_version,normalization_version,fallback_used
ABSTENTION,0.068,0.19533333333333336,0.21733333333333335,0.15133333333333335,wordfreq,v3.2,zipf-linear-v1,false
ABSTINENCE,0.06866666666666667,0.22866666666666666,0.17533333333333334,0.1426666666666667,wordfreq,v3.2,zipf-linear-v1,false
ABYSSINIAN,0.122,0.252,0.21466666666666667,0.16333333333333333,wordfreq,v3.2,zipf-linear-v1,false
ACCELERANT,0.03933333333333333,0.18933333333333335,0.106,0.13133333333333333,wordfreq,v3.2,zipf-linear-v1,false
ACCEPTABLE,0.126,0.22399999999999998,0.31666666666666665,0.16266666666666665,wordfreq,v3.2,zipf-linear-v1,false
ACCIDENTAL,0.13466666666666668,0.2753333333333334,0.26466666666666666,0.168,wordfreq,v3.2,zipf-linear-v1,false
ACCLAIMING,0.08133333333333333,0.22266666666666668,0.218,0.1426666666666667,wordfreq,v3.2,zipf-linear-v1,false
ACCLIMATED,0.06066666666666667,0.25266666666666665,0.14733333333333334,0.16466666666666666,wordfreq,v3.2,zipf-linear-v1,false
ACCORDIONS,0.05266666666666667,0.17933333333333334,0.12933333333333333,0.1366666666666667,wordfreq,v3.2,zipf-linear-v1,false
ACCOUNTANT,0.07866666666666668,0.2273333333333333,0.218,0.17333333333333334,wordfreq,v3.2,zipf-linear-v1,false
ACCREDITED,0.03866666666666666,0.2313333333333333,0.10533333333333333,0.166,wordfreq,v3.2,zipf-linear-v1,false
ACCURATELY,0.07400000000000001,0.242,0.17,0.1486666666666667,wordfreq,v3.2,zipf-linear-v1,false
ACCUSATORY,0.082,0.24333333333333332,0.17600000000000002,0.11599999999999999,wordfreq,v3.2,zipf-linear-v1,false
ACCUSTOMED,0.124,0.27,0.254,0.14600000000000002,wordfreq,v3.2,zipf-linear-v1,false
ACQUITTALS,0.06533333333333334,0.21599999999999997,0.25466666666666665,0.15,wordfreq,v3.2,zipf-linear-v1,false
ACQUITTING,0.11133333333333334,0.23399999999999999,0.224,0.15333333333333332,wordfreq,v3.2,zipf-linear-v1,false
ACROBATICS,0.08800000000000001,0.24933333333333332,0.244,0.166,wordfreq,v3.2,zipf-linear-v1,false
ACTIVATING,0.07400000000000001,0.216,0.22399999999999998,0.16,wordfreq,v3.2,zipf-linear-v1,false
ADDICTIONS,0.10733333333333334,0.242,0.21333333333333335,0.162,wordfreq,v3.2,zipf-linear-v1,false
ADIRONDACK,0.12733333333333333,0.276,0.20733333333333334,0.136,wordfreq,v3.2,zipf-linear-v1,false
ADJECTIVES,0.09400000000000001,0.24066666666666667,0.22866666666666666,0.15266666666666664,wordfreq,v3.2,zipf-linear-v1,false
ADJOURNING,0.06333333333333334,0.25866666666666666,0.14400000000000002,0.13333333333333333,wordfreq,v3.2,zipf-linear-v1,false
ADJUSTABLE,0.11599999999999999,0.248,0.3373333333333333,0.152,wordfreq,v3.2,zipf-linear-v1,false
ADMINISTER,0.07200000000000001,0.23199999999999998,0.24333333333333332,0.16866666666666666,wordfreq,v3.2,zipf-linear-v1,false
ADMISSIBLE,0.09666666666666666,0.19933333333333336,0.248,0.15333333333333332,wordfreq,v3.2,zipf-linear-v1,false
ADMISSIONS,0.054,0.23866666666666667,0.15,0.16133333333333333,wordfreq,v3.2,zipf-linear-v1,false
ADMITTANCE,0.07133333333333333,0.24666666666666667,0.19266666666666668,0.14333333333333334,wordfreq,v3.2,zipf-linear-v1,false
ADMONISHED,0.06733333333333334,0.20866666666666667,0.21133333333333335,0.15266666666666667,wordfreq,v3.2,zipf-linear-v1,false
ADMONISHES,0.12266666666666666,0.26266666666666666,0.23933333333333331,0.15866666666666665,wordfreq,v3.2,zipf-linear-v1,false
ADMONITORY,0.09733333333333333,0.18666666666666668,0.29466666666666663,0.13133333333333333,wordfreq,v3.2,zipf-linear-v1,false
